,Тема,Вопрос из БЗ,Ответ из БЗ,Классификатор 1 уровня,Классификатор 2 уровня
551,,Добрый день!Как часто происходит обновление статистики в Монетизации?,"Данные по монетизации за текущий месяц обновляются в личном кабинете ежедневно. отображение показывает данные за предыдущий день.
",,
552,,"Здравствуйте, информается по монетизации как часто обновляется?","Ежедневно, сейчас показываются данные за прошлый день.",,
553,,"Добрый день, случайно отключила рекламу и участие в партнерской программе на канале, подскажите пожалуйста, как подключить обратно?","Мы с удовольствием вам поможем. Для подключения/отключения рекламы необходимо:

Зайти в веб-версии в Студию RUTUBE → ""Настройка канала"": https://studio.rutube.ru/channel-settings
В блоке ""Реклама на вашем канале"" переключить ползунок в соответствующее положение.",,
554,,"добрый день, я по ошибке отключил рекламу, как её включить. спасибо.","Для подключения/отключения рекламы необходимо:

Зайти в Студию RUTUBE → ""Настройка канала"": https://studio.rutube.ru/channel-settings
В блоке ""Реклама на вашем канале"" переключить ползунок в соответствующее положение.",,
555,,Куда направть уведомление об исключительности прав?,"Вы можете направить уведомление нам. Мы тщательно рассматриваем все обращения, чтобы найти индивидуальное решение для каждой ситуации.",,
556,,"Мне нужно отправить уведомление об исключительности прав, куда это можно сделать?",Вы можете направить уведомление нам. Мы обязательно всё проверим.,,
557,,Куда можно направить уведомление об исключительности прав?,Вы можете направить уведомление на адрес partners@rutube.ru. И мы постараемся найти индивидуальное решение.,,
558,,Что за можеерация?,"Модерация — это процесс предварительной проверки видеоконтента, аудиоконтента, прямых эфиров и комментариев на соответствие требованиям пользовательского соглашения https://rutube.ru/info/agreement/ . Модерация бывает ручной (проверка модератором-человеком) и автоматической. Материалы, отклоненные на модерации, не допускаются к показам.

RUTUBE, являясь социально проактивной платформой, ответственно относится к соблюдению закона и общепринятых норм морали, старается контролировать процесс публикации пользователями контента на площадке. Мы просматриваем каждый загружаемый видеоролик перед тем, как файл станет доступен другим пользователям.

Размещаемые пользователями материалы и сопутствующая информация проходят проверку на соответствие требованиям Генерального пользовательского соглашения RUTUBE.",,
559,,Что такое эта ваша модерация?,"Модерация — это процесс предварительной проверки видеоконтента, аудиоконтента, прямых эфиров и комментариев на соответствие требованиям пользовательского соглашения Модерация — это процесс предварительной проверки видеоконтента, аудиоконтента, прямых эфиров и комментариев на соответствие требованиям пользовательского соглашения. Модерация бывает ручной (проверка модератором-человеком) и автоматической. Материалы, отклоненные на модерации, не допускаются к показам.

RUTUBE, являясь социально проактивной платформой, ответственно относится к соблюдению закона и общепринятых норм морали, старается контролировать процесс публикации пользователями контента на площадке. Мы просматриваем каждый загружаемый видеоролик перед тем, как файл станет доступен другим пользователям.

Размещаемые пользователями материалы и сопутствующая информация проходят проверку на соответствие требованиям Генерального пользовательского соглашения RUTUBE. . Модерация бывает ручной и автоматической. Материалы, отклоненные на модерации, не допускаются к показам.

RUTUBE, являясь социально проактивной платформой, ответственно относится к соблюдению закона и общепринятых норм морали, старается контролировать процесс публикации пользователями контента на площадке. Мы просматриваем каждый загружаемый видеоролик перед тем, как файл станет доступен другим пользователям.

Размещаемые пользователями материалы и сопутствующая информация проходят проверку на соответствие требованиям Генерального пользовательского соглашения RUTUBE.",,
560,,Что происходит во время модерации?,"Процесс модерации материалов включает в себя:

Проверку содержания материалов на соответствие требованиям https://rutube.ru/info/agreement/ (приложение «Д» к Генеральному пользовательскому соглашению RUTUBE «ПРЯМЫЕ ЗАПРЕТЫ, СВЯЗАННЫЕ С РАЗМЕЩЕНИЕМ НА RUTUBE КОНТЕНТА», а также Правила публикации общественно значимого контента на RUTUBE.
Проверку сопутствующей информации (название и описание, категории, соответствие контента возрастному цензу 18+).",,
561,,Что вы смотрите на модерации?,Мы проверяем соответствует ли ролик правилам размещения на площадке. Подробнее с правилами можете ознакомиться по ссылке https://rutube.ru/info/agreement/,,
562,,Кто проводит модерацию?,Модерация бывает ручной (проверка модератором-человеком) и автоматической.,,
563,,"Как вы осушествляете модерацию, это люди или машины?","Модерация бывает как ручной, так и автоматической.",,
564,,Вы модерируете сами или это роботы?,"Мы уже используем технологии искусственного интеллекта для модерации загружаемого контента, чтобы сократить объемы ручной работы.
Надеемся, что взаимодействие с платформой принесет только положительные эмоции.",,
565,,Сколь ждать модерации видео?,"Обычно процедура занимает до 20 минут, но модераторы могут увеличить время проверки до 24 часов.",,
566,,"Скажите, а сколько примерно по времени занимает модерация","как правило,  до 20 минут, но модераторы могут увеличить время проверки до 24 часов.",,
567,,"Здравствуйте! При модерации высветилось ""Видео удалено за нарушение пользовательского соглашения"". Не понимаю, что именно оно нарушает.","Пришлите, пожалуйста, ссылку на видео. Уточним причины отклонения",,
568,,"Ваше видео отклонено, этьо что ?","Пожалуйста, пришлите ссылку на видео, мы проверим причину отклонения.",,
569,,"Почему пишет, что моё видео отклонено?","Пожалуйста, пришлите ссылку на видео, мы всё проверим.",,
570,,Мой ролик не прошел стадию модерации? В чём причина?,"Пожалуйста, направьте нам ссылку на видеоролик и мы разберемся в причинах.",,
571,,Что делать если моё виде не прошло вашу модерацию?,"Направьте, пожалуйста, нам письмо на почту help@rutube.ru, приложив ссылку на видеоролик.",,
572,,для чего нужно регистрироваться?,"Когда вы зарегистрируетесь, получите возможность: Завести собственный канал на RUTUBE: оформить его и начать загружать видеоролики и/или проводить стримы (прямые трансляции); Присоединиться к партнерской программе RUTUBE;  Оформить платную подписку и получить доступ к тысячам единиц лицензионного контента и эфирам сотен телеканалов; Оставлять комментарии.",,
573,,Зачем мне регистрация?,После регистрации вы получаете возможность: Завести собственный канал на RUTUBE: оформить его и начать загружать видеоролики и/или проводить стримы (прямые трансляции); Присоединиться к партнерской программе RUTUBE;  Оформить платную подписку и получить доступ к тысячам единиц лицензионного контента и эфирам сотен телеканалов; Оставлять комментарии. И многое другое,,
574,,"что я должен ввести, чтобы зарегистрироваться?","Достаточно вашего e-mail (корпоративный e-mail — для юридических лиц) или номер телефона – эти данные будут использоваться в качестве логина при последующей авторизации, а e-mail понадобится для восстановления пароля.",,
575,,что мне нужно чтобы пройти регистрацию?,Вы можете указать e-mail или номер телефона. ,,
576,,"Подтверждение e-mail, это что?","Это ссылка, которая приходит на ваш e-mail, указанный при регистрации. Чтобы подтвердить ваше желание зарегистрироваться на RUTUBE, нужно перейти по этой ссылке.  И в таком случае мы удостоверимся, что вы действительно проходили регистрацию.",,
577,,"Подтверждение e-mail, что за ссылка пришла?","Это ссылка, которая приходит на ваш e-mail, указанный при регистрации. Чтобы подтвердить ваше намерение зарегистрироваться на RUTUBE, нужно перейти по этой ссылке.",,
578,,Не приходит письмо с подтверждением регистрации,"Для проверки нам понадобиться почта, которую вы указывали при регистрации.",,
579,,Что делать если не пришло письмо с подтверждением регистрации?,"Мы подтвердили ваш e-mail. Для того чтобы изменения вступили в силу, вам необходимо почистить кэш браузера и перезайти в аккаунт. Приносим свои извинения за доставленные неудобства.",,
580,,А как поменять пароль?,"Вы можете изменить пароль в разделе ""Мои данные"" https://rutube.ru/profile/ в блоке ""Дополнительная безопасность"".
",,
581,,Хочу сменить пароль. Что делать?," Нужно только нажать на кнопку ""Задать пароль"" и следовать дальнейшим инструкциям.
В мобильном приложении тоже можно сменить пароль. Для этого нужно нажать на значок аккаунта, справа наверху, далее выбрать раздел ""Настройки профиля"" и ""Изменить пароль"".",,
582,,"Я не помню пороль?, как востановить?","Для восстановления пароля нажмите на кнопку «Вход и регистрация» в правом верхнем углу страницы. В появившемся окне введите адрес электронной почты или номер телефона, по которому вы регистрировались, и нажмите «Продолжить». В окне ввода пароля нажмите внизу на сноску «Забыли пароль?», после чего на привязанный к профилю электронный адрес придет код для сброса пароля.",,
583,,Есть возвращение пароля?,"Вы можете его восстановить самостоятельно. Для этого нажмите на кнопку «Вход и регистрация» в правом верхнем углу страницы. В появившемся окне введите адрес электронной почты или номер телефона, по которому вы регистрировались, и нажмите «Продолжить». В окне ввода пароля нажмите внизу на сноску «Забыли пароль?», после чего на привязанный к профилю электронный адрес придет код для сброса пароля.",,
584,,"Забыл пароль, но письма для восстановления нет.","Пожалуйста, проверьте папку спам или нежелательная почта. Если и там пусто, пришлите нам на help@rutube.ru привязанный к вашему профилю адрес электронной почты и номер телефона (если указывался), а также ссылку на ваш канал – мы поможем сбросить пароль.",,
585,,не могу востановить пароль не приходит e-mail,"Пожалуйста, проверьте папку спам. Если и там пусто, пришлите нам на help@rutube.ru привязанный к вашему профилю адрес электронной почту, и ссылку на ваш канал – мы поможем сбросить пароль.",,
586,,"Не помню пароля, когда отправляю письмо ничего нет","Пожалуйста, проверьте папку спам. Если и там пусто, пришлите нам на help@rutube.ru привязанный к вашему профилю адрес электронной почты и номер телефона (если указывался), а также ссылку на ваш канал – мы поможем сбросить пароль.",,
587,,"Я не помню пароля от почты, которую привязывал, как теперь быть?","Пожалуйста, проверьте папку спам. Если там ничего нет, то пришлите ссылку на канал, и почту которую вы указывали ранее.",,
588,,"Не могу хайти на привязанную почту, что делать?","Напишите, пожалуйста, на какой e-mail регистрировался аккаунт, а также номер телефона (если он привязывался) - мы поможем вам восстановить доступ к аккаунту.",,
589,,"Мой имейл сейчас недостпен, который я добавлял сюда","Напишите, пожалуйста, на какой e-mail регистрировался аккаунт, а также номер телефона - мы поможем вам восстановить доступ.",,
590,,как поменять номер телефона?,"Изменить номер телефона можно в разделе ""Мои данные"" https://rutube.ru/profile/, нажав на значок ""Карандаш"" в блоке ""Контактная информация"" и введя новый номер. После чего необходимо ввести код, который поступит на номер телефона. ",,
591,,Как перепреривязать номер телефона?,"Изменить номер телефона можно в разделе ""Мои данные"" https://rutube.ru/profile/, нажав на значок ""Карандаш"" в блоке ""Контактная информация"" и введя новый номер. После чего необходимо ввести код, который поступит на номер телефона. ",,
592,,Как изменить свой номер?,"Изменить номер телефона можно в разделе ""Мои данные"" https://rutube.ru/profile/, нажав на значок ""Карандаш"" в блоке ""Контактная информация"" и введя новый номер. После чего необходимо ввести код, который поступит на номер телефона. ",,
593,,"Пишет, что не верный пароль, что теперь?","Пожалуйста, проверьте корректность ввода данных, если это не поможет, то нажмите на кнопку ""Забыли пароль?"" и следуйте инструкциям.",,
594,,Говорит что пользователя не существует или неверный пароль?,"Пожалуйста, проверьте корректность данных, с которыми вы пробуете авторизоваться. Если вы уверены, что используете корректный номер телефона или e-mail, попробуйте восстановить пароль для вашей учетной записи. Если это не поможет напишите нам, мы разберемся.",,
595,,"Пишет что нет такого пользователя или неверный пороль, ввожу всё корректно, что теперь делать?"," Если вы уверены, что используете корректный номер телефона или e-mail, попробуйте восстановить пароль для вашей учетной записи, а если это не помогло, то пришлите скриншот ошибки и мы обязательно во всём разберемся.",,
596,,Как удалить аккаунт?,"Пожалуйста, уточните ссылку на ваш канал, а также скриншот из общих настроек профиля и телефон на который он зарегистрирован и мы поможем вам с удалением.
https://rutube.ru/profile/info/ ",,
597,,"Прошу прощения! Удалите, пожалуйста:",Для удаления канала требуется дополнительная идентификация. Просьба прислать скриншот из настроек (https://rutube.ru/profile/info/) профиля данного канала. ,,
598,,хочу удалить канал,"чтобы мы могли выполнить ваш запрос, пожалуйста, авторизуйтесь на канале и пришлите нам скриншот из раздела ""Мои данные"" - https://rutube.ru/profile в веб-версии либо из раздела ""Настройки профиля"" в мобильном приложении RUTUBE (для этого нажмите на фото профиля в правом верхнем углу → ""Настройки профиля"").",,
599,,Здравствуй восстановите акаунт пожалуйста ,"Уточните, пожалуйста, е-мейл или номер телефона, по которому авторизуетесь. Проверим аккаунт и постараемся помочь. 
",,
600,,"Удалил свой аккаунт, восстановите плих","Если с момента удаления аккаунта прошло менее 30 дней, вы можете авторизоваться на RUTUBE привычным способом, и ваш аккаунт автоматически восстановится. Если не получится, то пожалуйста, пришлите данные, которые вы указывали при регистрации, и мы поможем.",,
601,,"На сайт не пускает, пишет что заблокировали","Для уточнения причины блокировки напишите, пожалуйста, нам на help@rutube.ru.",,
602,,"Иеня заблокировали и не пускает, что не так?","Для уточнения причины блокировки напишите, пожалуйста, команде поддержки на help@rutube.ru.",,
603,,"Я из Кахастана, как харегистрироваться?",Вы можете пройти регистрацию по e-mail. Регистрация на иностранные номера приостановлена по решению компании.,,
604,,Можно ли зарегистрироваться если я нахожусь за пределами РФ?,"Да, вы можете зарегистрироваться используя e-mail. На иностранные номера регистрация пока невозможна.",,
605,,Что за личный канал?,"Личный канал — это персональный общедоступный раздел RUTUBE, где хранятся все ваши видеоролики. Сюда будут заходить пользователи сайта, ваши возможные подписчики для того, чтобы смотреть и комментировать ваши видео. Очень хорошо, если у вашего канала есть конкретная тема (идея), а также соответствующее ей оформление. ",,
606,,"Мой канал, это что такое?","Личный канал — это ваш персональный раздел RUTUBE, где хранятся все ваши видеоролики. Сюда будут заходить пользователи сайта, ваши возможные подписчики для того, чтобы смотреть и комментировать ваши видео. Очень хорошо, если у вашего канала есть конкретная тема (идея), а также соответствующее ей оформление. Грамотно и красиво оформить свой канал вам помогут пошаговые рекомендации, описанные в соответствующем разделе: https://rutube.ru/info/channel/",,
607,,Что такое личный канал?,"Это канал, на котором вы можете выкладывать видео, вести трансляции и вести коммуникацию с вашими зрителями.",,
608,,Как сделать канал?,"Канал регистрируется автоматически, когда вы проходите регистрацию.",,
609,,"Хочу завести канал на рутуб, как это сделать?","Вам нужно пройти регистрацию, и канал будет создан автоматически.",,
610,,Как мне завсти канал?,Канал создается автоматически при регистрации на сайте.,,
611,,Как поменять названия канала?,"Изменить название канала можно в разделе ""Мои данные"" https://rutube.ru/profile/, нажав на кнопку ""Изменить личные данные"" в блоке ""Название канала"" и введя новое название. После чего нужно нажать ""Сохранить"".",,
612,,Хочк изменить название канала как это сделать?,"Поменять название канала можно в разделе ""Мои данные"" https://rutube.ru/profile/, нажав на кнопку ""Изменить личные данные"" в блоке ""Название канала"" и введя новое название. После чего нужно нажать ""Сохранить"".",,
613,,"Мне нужно поменять название канала, подскажитье, пожалуйста, как?","Поменять название вашего канала можно в разделе ""Мои данные"" https://rutube.ru/profile/, нажав на кнопку ""Изменить личные данные"" в блоке ""Название канала"" и введя новое название. После чего нужно нажать ""Сохранить"".",,
614,,че такое студия рутуб?,"Студия — это раздел на RUTUBE, с помощью которого вы можете загружать видеоролики и подкасты, управлять ими, создавать плейлисты, отслеживать статистику, подключать монетизацию, настраивать и редактировать ваш личный канал. Студия создается автоматически при регистрации на RUTUBE. Авторизация в Студии (доступ к управлению каналом) происходит автоматически, если вы авторизованы на RUTUBE.",,
615,,Студя рутуб это что?,"Студия — это ваш персональный раздел на RUTUBE, с помощью которого вы можете загружать видеоролики и подкасты, управлять ими, создавать плейлисты, отслеживать статистику, подключать монетизацию, настраивать и редактировать ваш личный канал. Студия создается автоматически при регистрации на RUTUBE.",,
616,,Как мне получать пожертвования?,"Да, функция донатов на RUTUBE называется ""Поддержать автора""",,
617,,Могу получать донаты?,"Да, функция донатов на RUTUBE называется ""Поддержать автора"". Для того, чтобы подключить донаты в веб-версии, необходимо:

1. Зарегистрироваться в любом сервисе для получения донатов из списка.

2. Совершить действия, указанные в сервисе, для получения ссылки (для приема донатов).

3. Авторизоваться на rutube.ru.

4. Перейти в раздел ""Настройка канала"" в Студии RUTUBE по ссылке https://studio.rutube.ru/channel-settings.

5. В поле ""Поддержать автора"" указать ссылку на сервис приема донатов, куда пользователи смогут перечислять средства:
Под всеми видео на канале появится кнопка ""Поддержать автора"" для отправки средств на счет. Данная кнопка будет видна всем пользователям, кроме автора.",,
618,,Донаты у вас есть?,"Да, для того, чтобы подключить донаты в веб-версии, необходимо:

1. Зарегистрироваться в любом сервисе для получения донатов из списка.

2. Совершить действия, указанные в сервисе, для получения ссылки (для приема донатов).

3. Авторизоваться на rutube.ru.

4. Перейти в раздел ""Настройка канала"" в Студии RUTUBE по ссылке https://studio.rutube.ru/channel-settings.

5. В поле ""Поддержать автора"" указать ссылку на сервис приема донатов, куда пользователи смогут перечислять средства:
Под всеми видео на канале появится кнопка ""Поддержать автора"" для отправки средств на счет. Данная кнопка будет видна всем пользователям, кроме автора.
",,
619,,Как подключть донаты?,"Для того, чтобы подключить донаты в веб-версии, необходимо:

1. Зарегистрироваться в любом сервисе для получения донатов из списка.

2. Совершить действия, указанные в сервисе, для получения ссылки (для приема донатов).

3. Авторизоваться на rutube.ru.

4. Перейти в раздел ""Настройка канала"" в Студии RUTUBE по ссылке https://studio.rutube.ru/channel-settings.

5. В поле ""Поддержать автора"" указать ссылку на сервис приема донатов, куда пользователи смогут перечислять средства:



Под всеми видео на канале появится кнопка ""Поддержать автора"" для отправки средств на счет. Данная кнопка будет видна всем пользователям, кроме автора.",,
620,,Пожертвования как включить?,"Для того, чтобы подключить донаты в веб-версии, необходимо:
1. Зарегистрироваться в любом сервисе для получения донатов из списка.
2. Совершить действия, указанные в сервисе, для получения ссылки (для приема донатов).

3. Авторизоваться на rutube.ru.

4. Перейти в раздел ""Настройка канала"" в Студии RUTUBE по ссылке https://studio.rutube.ru/channel-settings.

5. В поле ""Поддержать автора"" указать ссылку на сервис приема донатов, куда пользователи смогут перечислять средства:



Под всеми видео на канале появится кнопка ""Поддержать автора"" для отправки средств на счет. Данная кнопка будет видна всем пользователям, кроме автора.",,
621,,"Видел кнопку ""поддержать автора"", хочу такую включить, как?","Для того, чтобы подключить донаты в веб-версии, необходимо:

1. Зарегистрироваться в любом сервисе для получения донатов из списка.

2. Совершить действия, указанные в сервисе, для получения ссылки (для приема донатов).

3. Авторизоваться на rutube.ru.

4. Перейти в раздел ""Настройка канала"" в Студии RUTUBE по ссылке https://studio.rutube.ru/channel-settings.

5. В поле ""Поддержать автора"" указать ссылку на сервис приема донатов, куда пользователи смогут перечислять средства:
Под всеми видео на канале появится кнопка ""Поддержать автора"" для отправки средств на счет. Данная кнопка будет видна всем пользователям, кроме автора.",,
622,,Какие донатилки могу подключить?,"Вы можете выбрать любой удобный сервис, однако он должен быть доступен российским пользователям сети Интернет и не нарушать законодательства Российской Федерации.",,
623,,На какие сервисы донатов могу указать ссылки,"Вы можете выбрать любой удобный сервис, однако он должен быть доступен российским пользователям сети Интернет и не нарушать законодательства Российской Федерации.",,
624,,На какие сервисы мне могкт донатить?,"Вы можете выбрать любой удобный сервис, однако он должен быть доступен российским пользователям сети Интернет и не нарушать законодательства Российской Федерации.",,
625,,Как получить ссылку на сервис донатов?,"Для этого необходимо пройти  регистрацию на сервисе донатов, и там будет персональная ссылка.",,
626,,Как я могу получить ссылку на пожертвование,"Персональную ссылку вы сможете взять в любом сервисе, пройдя регистрацию.",,
627,,Где взять ссылку для донатов?,"Вы можете зарегистрироваться в любом из сервисов, и предоставить ссылку от туда.",,
628,,Кого вы называете пользователем?,"Мы так называем всех посетителей сайта, которые зарегистрировались, прочитав и приняв условия Генерального пользовательского соглашения RUTUBE: https://rutube.ru/info/agreement/",,
629,,как стать пользователем?,"Для этого необходимо зарегистрироваться на сайте, прочитав и приняв условия Генерального пользовательского соглашения RUTUBE: https://rutube.ru/info/agreement/",,
630,,Как стать автором?,"Начните публиковать свои собственные видео для этого нужно пройти регистрацию на сайте. Все видео, которые появляются на вашем канале, мы по умолчанию признаем как авторские. Автор имеет право подключиться к партнерской программе RUTUBE.",,
631,,как стать блоггером?,"Блоггером RUTUBE может стать любой совершеннолетний пользователь, зарегистрировавшийся по стандартной процедуре. Мы считаем вас автором RUTUBE, если вы начинаете снимать и выкладывать в открытый доступ видеоролики на нашем сайте. Все видео, которые появляются на вашем канале, мы по умолчанию признаем как авторские. Автор имеет право подключиться к партнерской программе RUTUBE.",,
632,,Как мне стать правообладателем?,"Если вы хотите зарегистрироваться в качестве правообладателя и у вас должны быть документы, которые подтверждают ваши права на контент, напишите письмо на partners@rutube.ru. Правообладатель имеет право стать партнером и получать доход посредством монетизации.",,
633,,Как мне зарегестроваться как правообладатель,"Правообладателем контента может стать как его автор, так и любой другой человек. Если вы хотите зарегистрироваться в качестве правообладателя и у вас есть документы, которые подтверждают ваши права на контент, напишите письмо на partners@rutube.ru. Правообладатель имеет право стать партнером и получать доход посредством монетизации.",,
634,,Что ещё за проавообладатель?,"Правообладателем контента может стать как его автор, так и любой другой человек или организация. Если вы хотите зарегистрироваться в качестве правообладателя и у вас есть документы, которые подтверждают ваши права на контент, напишите письмо на partners@rutube.ru. Правообладатель имеет право стать партнером и получать доход посредством монетизации.",,
635,,Стримы это что такое?,"Стримы - это прямые трансляции, которые вы можете проводить на RUTUBE. Для выхода в прямой эфир вам потребуется ноутбук или компьютер с отдельной веб-камерой. На RUTUBE все трансляции собраны в одном разделе. Здесь можно найти как авторские стримы, так и прямые эфиры популярных телеканалов.",,
636,,"Трансляции, что это такое?","Для выхода в прямой эфир вам потребуется ноутбук или компьютер с отдельной веб-камерой. На RUTUBE все трансляции собраны в одном разделе. Здесь можно найти как авторские стримы, так и прямые эфиры популярных телеканалов.",,
637,,Что во время стрима можно?,"Можно делать всё, что не описано в прямых запретах, связанных с размещением контента (https://rutube.ru/info/taboo_agreement/), а также правилах публикации рекламных материалов: https://rutube.ru/info/adverguide/.",,
638,,Что делать во время прямого эфира можно?,"Во время эфира нельзя делать то, что описано в прямых запретах, связанных с размещением контента (https://rutube.ru/info/taboo_agreement/), а также правилах публикации рекламных материалов: https://rutube.ru/info/adverguide/.",,
639,,Какие требования для подачи потока?,"Требования для трансляции: Качество - HD /FullHD/2К*/4K*
Кодек - H.264**
Частота кадров - до 60 fps
Битрейт видео - 4-6 mb/s
Аудиокодек: MPEG 2 ACC-LC, Stereo
Параметры аудио: bitrate 128 kbps, 44100 KHz

Если стрим ведется с помощью OBS Studio, то необходимо в настройках вывода установить параметр ""Интервал ключевых кадров"" равным ""1"" (без кавычек).****

*вести трансляцию в 2K и 4K технически возможно, но без гарантии стабильной работы из-за технических возможностей платформы. Также важно, чтобы разрешение соответствовало соотношению сторон 16:9 (т.е. для 4К - 3840×2160, для 2К - 2560 × 1440). Видео 2К/4К с другими соотношениями сторон и вариантами разрешения не пройдут.

**обязательное требование, т.к. платформа работает пока только с этим видеокодеком. 

****это важно, т.к. если этого не сделать, то либо трансляция будет поломана и иметь разрешение не выше 360р, либо транслировать можно будет без проблем только 720р  ",,
